1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Fungus,Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Rhizoid,Smooth,Red,N/A,Waxy,Yellow,N/A,Smooth,Yellow,N/A,Needles,Terminal,Acicular (Needle),Serrulate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Scaly,Green,N/A,Seeds,Spore,Wind,Spray,Cone,Avg. (1-5cm),Thread,Smooth,Regular Interval,Sweet,Annual (Once),Smooth,Green,Stripes,4-9,2-4,Decay,Light,Non-Sentient,N/A,Medicinal / Other,Ground,Aromatic,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tap,Smooth,Orange,N/A,Smooth,Green,N/A,Waxy,Yellow,N/A,None,Random Interval,Obcordate (Heart Stem at Point),Dentate,Waxy,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Blue,N/A,Seeds,Fruit,Animal,Other,Cone,Large (5-10cm),Wavy,Dusty,Random Interval,None,Annual (Once),Smooth,Gold,Mottled,4-9,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Crushed,Irritant,Medicinal / Other,Syrup,Antibiotic,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Waxy,Violet,N/A,Flaky,Brown,N/A,Smooth,Green,N/A,Blades,Terminal,Truncate (Squared off Apex),Serate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Pairs (2),Smooth,Green,N/A,Seeds,Spore,Animal,Bunches,Funnel,Avg. (1-5cm),Curly,Veined,Random Interval,Musky,Annual (Once),Smooth,Green,Blushed,10+,0,Symbiotic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Large (1-10m),Creeper Vine,Random,Bulb,Smooth,Copper,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Random Interval,Flabellate (Fan Shaped),Smooth,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Yellow,N/A,Other,Fruit,Animal,Single,Bell,Avg. (1-5cm),Wavy,Veined,Regular Interval,Sweet,Annual (Once),Smooth,Green,Translucent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Ointment,Hypnotic,Non-Edible,N/A,N/A,Medicinal / Other,Whole,Pectoral,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Tincture,Abortifacient,Medicinal / Other,Tincture,Depressant,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Smooth,Green,N/A,Scaly,Green,N/A,Compound,Random Interval,Obcordate (Heart Stem at Point),Serate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Waxy,Red,N/A,Suckers,Fruit,Animal,Bunches,Sphere,Small (5-10mm),Oval,Velvety,Branch Points,None,Annual (Once),Smooth,Silver,Mottled & Iridescent,4-9,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Dried,N/A,
Woody,Terrestrial,Forest / Jungle & Plains / Savannah,Very Rare,Solitary (1-2),Large (1-10m),Creeper Vine,Radial,Fibrous,Waxy,Silver,N/A,Rough,Green,N/A,Rough,Violet,N/A,Blades,Stem / Trunk,Cordate (Heart Stem in Cleft),Spiny,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Yellow,N/A,Seeds,Fruit,Water,Compound,Disc,Large (5-10cm),Curly,Dusty,Branch Points,Musky,Poly-Annual (2-7 Years),Smooth,Silver,Solid,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Juice,Emetic,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Tubers,Flaky,Gold,N/A,Smooth,Black,N/A,Smooth,Silver,N/A,Blades,Random Interval,Obcordate (Heart Stem at Point),Lobate,Scaly,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Brown,N/A,Seeds,Fruit,Animal,Compound,Sphere,Large (5-10cm),Wavy,Veined,Regular Interval,None,Other,Waxy,Orange,Stripes,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other,Infusion,Antispasmodic,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Tincture,Hydragogue,
Herbaceous,Terrestrial,Forest / Jungle,Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Scaly,Green,N/A,Waxy,Gold,N/A,Smooth,Brown & Grey,Patches,Broad,Random Interval,Reniform (Kidney),Crenate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Other,Orange,N/A,Budding / Fragmentation,Spore,Water,Pairs,Complex,Huge (>10cm),Feathery,Veined,Stem / Trunk,Sweet,Annual (Once),Smooth,Blue,Mottled,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Tincture,Specific,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Random,Tap,Waxy,Copper,N/A,Smooth,Green,N/A,Scaly,Red,N/A,Broad,Terminal,Obovate (Egg Narrow at Base),Smooth,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Green,N/A,Seeds,Nut,Gravity,Single,Disc,Small (5-10mm),Blade,Veined,Terminal,Other / Specific,Poly-Annual (2-7 Years),Smooth,Black,Stripes,0,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog & Forest / Jungle,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,Random,Tap,Smooth,Orange,N/A,Other,Green,N/A,Smooth,Green,N/A,Broad,Terminal,Lanceolate (Pointed at Both Ends),Smooth,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Smooth,Black,N/A,Suckers,Fruit,Gravity,Single,Disc,Small (5-10mm),Thread,Dusty,Terminal,Musky,Perennial (Yearly),Smooth,Orange,Mottled,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Decoction,Cardiac,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Rubbed,Balsam,Edible,Dried,N/A,
