1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Algae,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Large (1-10m),Stem / Trunk,Random,None,Flaky,Gold,N/A,Smooth,Red,N/A,Smooth,Orange,N/A,None & None,Terminal,Acuminate (Taper to Long Point),Sinuate,Waxy,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Flaky,Grey,N/A,Budding / Fragmentation,Spore,Wind,Compound,Complex,Avg. (1-5cm),Blade,Veined,Terminal,Foul,Poly-Annual (2-7 Years),Smooth,Orange,Solid,1-3,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Bath,Anthelmintic,N/A,N/A,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tap,Smooth,Red,N/A,Smooth,Yellow,N/A,Scaly,Green,N/A,Broad,Branch Points,Lanceolate (Pointed at Both Ends),Serrulate,Smooth & Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Brown,N/A,Seeds,Grain,Gravity,Spray,Cone,Avg. (1-5cm),Toothed,Sticky,Random Interval,Sweet,Perennial (Yearly),Waxy,Gold,Phases,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Crushed,Adjuvant,Nutritious / Tasty,Dried,N/A,
Fungus,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Large (1-10m),Stem / Trunk,None,Bulb,Waxy,Grey,N/A,Flaky,Green,N/A,Flaky,Red,N/A,Broad,Terminal,Palmate (Hand-Like),Sinuate,Hairy,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Other,White,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Heat,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Steeped,N/A,Medicinal / Other,Infusion,Cholagouge,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tap,Other,Green,N/A,Waxy,White,N/A,Smooth,Orange,N/A,Broad,Regular Interval,Hastatae (Triangular Basal Lobes),Sinuate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Copper,N/A,Seeds,Fruit,Animal,Pairs,Funnel,Small (5-10mm),Wavy,Hairy,Stem / Trunk & Terminal,Sweet,Annual (Once),Scaly,Green,Solid,4-9,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Other,Vermicide,Edible,Steeped,N/A,Edible,Ground,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Medicinal / Other,Juice,Analgesic,
Woody,Terrestrial,Desert / Waste,Rare,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Rhizoid,Rough,Brown,N/A,Waxy,Green,N/A,Rough,Brown,N/A,Broad,Regular Interval,Rhomboid (Diamond),Lobate,Sticky,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Scaly,Green,N/A,Seeds,Nut,Gravity,Bunches,Spike,Avg. (1-5cm),Blade,Velvety,Regular Interval,Musky,Perennial (Yearly),Smooth,Copper,Mottled,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Detergent,Medicinal / Other,Syrup,Astringent,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Algae,Aquatic,Fresh Water,Very Common,Solitary (1-2),Average (25cm-1m),Colonial Mass,Ordered,None,Smooth,Yellow,N/A,Smooth,White,N/A,Smooth,Green,N/A,None,Branch Points,Deltoid (Triangular),Spiny,VelvetyDusty & Smooth,Palmate (Several Primary Veins Diverging from a Point),Pairs (2) & Pairs (2),Scaly,Orange,N/A,Other,Spore,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Large (1-10m),Creeper Vine,Random,Fibrous,Smooth,Black,N/A,Rough,Blue,N/A,Smooth,Green,N/A,Broad,Random Interval,Lanceolate (Pointed at Both Ends),Sinuate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,Red,N/A,Seeds,Nut,Gravity,Spray,Bell,Small (5-10mm),Round,Waxy,Random Interval,Sweet,Perennial (Yearly),Smooth & Smooth,Green,Blushed,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Vapor / Smoke,Sedative,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Waxy,Green,N/A,Waxy,White,N/A,Smooth,Green,N/A,Scales,Branch Points,Aristate (Spine-Like Tip),Sinuate,Sticky,None,Whorls (3-5),Smooth,Green,N/A,Seeds,Grain,Gravity,Spray,Sphere,Small (5-10mm),Oval,Hairy,Branch Points,Sweet,Annual (Once),Waxy,Brown,Blushed,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Ground,N/A,
Herbaceous,Sub-Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Tubers,Smooth,Blue,N/A,Smooth,Grey,N/A,Scaly & Smooth,Green,N/A,Blades,Terminal,Obtuse (Bluntly Tipped),Denticulate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Waxy,Brown,N/A,Seeds,Spore,Animal,Bunches,Complex,Avg. (1-5cm),Round,Smooth,Terminal,None,Annual (Once),Smooth & Smooth,Yellow,Solid,4-9,1,Decay,Light,Non-Sentient,N/A,Medicinal / Other,Grated,Vulnerary,Medicinal / Other,Cold Compress,Antiphlogistic,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Tincture,Sialagogue,
Woody,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Tap,Waxy,Green,N/A,Smooth,Green,N/A,Smooth,Brown,N/A,Broad,Random Interval,Orbicular (Circular),Crenate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Green,N/A,Seeds,Fruit,Gravity,Bunches,Cone,Small (5-10mm),Toothed,Velvety,Terminal,Sweet,Annual (Once),Scaly,Blue,Night Blooming,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Medicinal / Other,Tincture,Nervine,Medicinal / Other,Ground,Depressant,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
