1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Fibrous,Waxy,Silver,N/A,Rough,Green,N/A,Flaky,Yellow,N/A,Broad,Random Interval,Poly-Foliate (2-7 Leaflets),Lobate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Rough,Brown,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Blanched,N/A,Edible,Boiled,N/A,
Herbaceous,Aquatic,Salt Water,Very Rare,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Rhizoid,Smooth,Green,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Broad,Random Interval,Ovate (Egg Wide at Base),Sinuate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Brown,N/A,Seeds,Fruit,Animal,Single,Funnel,Tiny (<5mm),Toothed,Velvety,Terminal,Musky,Annual (Once),Smooth,Green,Blushed,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Other,Counterirritant,
Herbaceous,Sub-Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Tap,Scaly,Orange,N/A,Smooth,Grey,N/A,Smooth,Violet & Green,Stripes,Broad,Branch Points,Obcordate (Heart Stem at Point),Ciliate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Yellow & Green,Solid,Seeds,Grain,Wind,Spray,Cone,Tiny (<5mm),Toothed,Waxy,Terminal,Sweet,Annual (Once),Smooth,Silver,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Medicinal / Other,Syrup,Depurative,
Woody,Terrestrial,Marsh / Swamp / Bog,Very Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Ordered,Tap,Scaly,Silver,N/A,Smooth,Red,N/A,Flaky,Blue,N/A,Compound,Random Interval,Elliptic (Oval Small or No Point),Smooth,VelvetyDusty & Re-Roll,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Flaky,Silver,N/A,Suckers,Fruit,Water,Single,Bell,Avg. (1-5cm),Blade,Velvety,Regular Interval,Sweet,Perennial (Yearly),Smooth,Black,Mimicry,10+,2-4,Symbiotic,Gravity,Non-Sentient,N/A,Medicinal / Other,Crushed,Diuretic,Non-Edible,N/A,N/A,Medicinal / Other,Ground,Emmenagogue,Edible,Boiled,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Rare,Solitary (1-2),Huge (>10m),Creeper Vine,Random,Tubers,Waxy,Brown,N/A,Smooth,Silver,N/A,Smooth,Brown,N/A,Broad,Terminal,Lanceolate (Pointed at Both Ends),Crenate,Hairy,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Waxy,Black,N/A,Seeds,Fruit,Water,Compound,Disc,Small (5-10mm),Toothed,Velvety,Branch Points,Musky,Annual (Once),Other,Copper,Stripes,1-3,1,Other,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Medicinal / Other,Juice,Oil,Medicinal / Other,Poultice,Carminative,Medicinal / Other,Crushed,Galactagogue,Medicinal / Other,Powder,Cathartic,Nutritious / Tasty,Roasted,N/A,
Woody,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Random,Rhizoid,Smooth,Yellow,N/A,Scaly,Black,N/A,Rough,Gold,N/A,Broad,Branch Points,Lobed (Deeply Indented Margins),Crenate & Sinuate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Scaly,Red,N/A,Seeds,Fruit,Gravity,Compound,Disc,Tiny (<5mm),Feathery,Waxy,Terminal,Sweet,Poly-Annual (2-7 Years),Rough,Copper,Blushed,1-3,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Rubbed,Anaphrodisiac,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,None,Tap,Rough,Silver,N/A,Smooth,Copper,N/A,Rough,Brown & Violet,Solid,Compound,Random Interval,Rhomboid (Diamond),Serate,Waxy,Reticulate (Smaller Veins Forming a Network),Singles (1),Rough,Red,N/A,Seeds,Fruit,Animal,Pairs,Cone,Avg. (1-5cm),Blade,Velvety,Terminal,Sweet,Other,Rough,Green,Iridescent,4-9,1,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Large (1-10m),Stem / Trunk,Random,Tap,Smooth,Brown,N/A,Flaky,Copper,N/A,Scaly,Blue,N/A,Broad,Terminal,Lanceolate (Pointed at Both Ends),Lobate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Rough,Green,N/A,Budding / Fragmentation,Fruit,Gravity,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Parasitic,Gravity,Non-Sentient,N/A,Medicinal / Other,Crushed,Balsam,N/A,N/A,N/A,Edible,Blanched,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Bath,Vermifuge,
Herbaceous,Terrestrial,Hills / Scrub,Common,Medium Patch (12-120),Tiny (<5cm),Multiple Stems / Trunks,Random,Fibrous,Waxy,Brown,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Compound,Terminal,Obtuse (Bluntly Tipped),Crenate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Yellow,N/A,Budding / Fragmentation,Fruit,Gravity,Other,Funnel,Large (5-10cm),Wavy,Hairy,Branch Points,Sweet,Annual (Once),Smooth,Brown,Patches,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Decoction,Coagulant,N/A,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Rubbed,Bitter Tonic,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,None,Fibrous,Smooth,Brown,N/A,Smooth,Brown,N/A,Smooth,Yellow,N/A,Broad,Branch Points,Aristate (Spine-Like Tip),Denticulate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Water,Spray,Bell,Tiny (<5mm),Blade,Dusty,Random Interval,Musky,Perennial (Yearly),Waxy,Gold,Mimicry,1-3,0,Decay,Heat,Non-Sentient,N/A,Medicinal / Other,Tincture,Narcotic,Edible,Raw,N/A,Medicinal / Other,Infusion,Balsam,Nutritious / Tasty,Roasted,N/A,Edible,Dried,N/A,Nutritious / Tasty,Dried,N/A,
