1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Terrestrial,Forest / Jungle & Forest / Jungle,Rare,Small Patch (1-12),Huge (>10m),Creeper Vine,Random,Tap,Smooth,Yellow,N/A,Smooth,Grey,N/A,Smooth,White,N/A,Broad,Random Interval,Poly-Foliate (2-7 Leaflets),Serrulate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Yellow,N/A,Seeds,Grain,Wind,Spray,Spike,Avg. (1-5cm),Thread,Velvety,Regular Interval,None,Annual (Once),Rough,Orange,Luminescent,10+,5+,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Decoction,Dye,Medicinal / Other,Tincture,Caustic,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Vapor / Smoke,Fungicide,Medicinal / Other,Bath,Antifungal,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,None,Tubers,Smooth,Violet,N/A,Smooth,Green,N/A,Smooth,Blue,N/A,Broad,Terminal,Ovate (Egg Wide at Base),Sinuate & Dentate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Yellow,N/A,Seeds,Fruit,Animal,Pairs,Bell,Small (5-10mm),Curly,Dusty,Branch Points,Sweet,Perennial (Yearly),Smooth,Blue,Stripes,10+,2-4,Predaceous,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Poultice,Re-Roll,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Rough,Orange,N/A,Other,Orange,N/A,Smooth,Gold,N/A,Compound,Regular Interval,Ovate (Egg Wide at Base),Dentate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Smooth,Green,N/A,Budding / Fragmentation,Fruit,Animal,Pairs,Sphere,Avg. (1-5cm),Round,Velvety,Branch Points & Branch Points,Foul,Poly-Annual (2-7 Years),Smooth,Orange,Spotted,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Boiled,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Smooth,White,N/A,Smooth,Orange,N/A,Broad,Random Interval,Hastatae (Triangular Basal Lobes),Denticulate,VelvetyDusty,None,Clusters (6+),Smooth,Orange & Brown,Stripes,Budding / Fragmentation,Grain,Gravity,Other,Funnel,Small (5-10mm),Toothed & Blade,Hairy,Terminal,Sweet,Poly-Annual (2-7 Years),Waxy,Brown,Phases,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Deodorant,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Essence,Nauseant,Medicinal / Other,Cold Compress,Antiperodic,
Woody,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Other,Green,N/A,Smooth,White,N/A,Smooth,Grey,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Crenate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Scaly,Brown,N/A,Seeds,Nut,Water,Bunches,Spike,Avg. (1-5cm),Wavy,Velvety,Stem / Trunk,Foul,Other,Rough,Red,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Wash,Analgesic,N/A,N/A,N/A,Edible,Dried,N/A,Medicinal / Other,Cold Compress,Caustic,Nutritious / Tasty,Roasted,N/A,
Woody,Terrestrial,Mountains,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Fibrous,Rough,Silver,N/A,Smooth,White,N/A,Smooth,Red,N/A,Broad,Regular Interval,Cordate (Heart Stem in Cleft),Lobate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Green,N/A,Seeds,Nut,Animal,Other,Funnel,Avg. (1-5cm),Wavy,Veined,Regular Interval & Terminal,Sweet,Perennial (Yearly),Rough,White,Mimicry,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Grated,Antipyretic,N/A,N/A,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Bath,Wax,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Fibrous,Waxy,Black,N/A,Smooth,Green,N/A,Smooth,Yellow,N/A,Broad,Regular Interval,Lanceolate (Pointed at Both Ends),Serate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Green,N/A,Suckers,Grain,Gravity,Bunches,Cone,Small (5-10mm),Blade,Waxy,Terminal,None,Annual (Once),Flaky,Green,Blushed,4-9,1,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Raw,N/A,Medicinal / Other,Poultice,Soporific,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Whole,Antinauseant,Medicinal / Other,Ground,Sedative,
Algae,Aquatic,Fresh Water,Very Common,Medium Patch (12-120),Small (5-25cm),Colonial Mass,Radial,Fibrous,Rough,Orange,N/A,Flaky,White,N/A,Smooth,Violet,N/A,None,Random Interval,Obovate (Egg Narrow at Base),Serrulate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,Silver,N/A,Budding / Fragmentation,Other,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Raw,N/A,
Woody,Terrestrial,Hills / Scrub,Very Rare,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Radial,Tap,Waxy,Yellow,N/A,Smooth,Copper,N/A,Waxy,Silver,N/A,Compound,Terminal,Acuminate (Taper to Long Point),Serate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Yellow,N/A,Seeds,Grain,Wind,Spray,Disc,Avg. (1-5cm),Round,Smooth,Branch Points,Other / Specific,Perennial (Yearly),Rough,Copper,Blushed,4-9,0,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Rare,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Ordered,Tubers,Flaky,Grey,N/A,Scaly,Gold,N/A,Smooth,Silver,N/A,Compound,Branch Points,Linear (Parallel Margins & Elongate),Lobate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Rough,Red,N/A,Seeds,Fruit,Animal,Pairs,Cone,Avg. (1-5cm),Oval,Smooth & Velvety,Regular Interval,Other / Specific,Other,Rough,Yellow,Mottled & Mottled,1-3,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Powder,Colorant,Edible,Boiled,N/A,Medicinal / Other,Juice,Vermifuge,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Antinauseant,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,White,N/A,Rough,Silver,N/A,Flaky,Green,N/A,Broad,Branch Points,Cuneate (Wedge Accute Base),Denticulate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Red,N/A,Seeds,Spore,Animal,Pairs,Complex,Avg. (1-5cm),Curly,Waxy,Terminal,Foul,Annual (Once),Smooth,Green,Solid,4-9,5+,Parasitic,Light,Non-Sentient,N/A,Medicinal / Other,Ground,Hydragogue,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Essence,Fungicide,Edible,Dried,N/A,
